name,year,total_population,median_contract_rent,median_home_value,price_to_rent
"Las Vegas, Nevada",2011,584641,819,166900,16.982091982091983
"Las Vegas, Nevada",2012,589340,803,153200,15.898713158987135
"Las Vegas, Nevada",2013,596440,795,141200,14.80083857442348
"Las Vegas, Nevada",2014,603525,825,162400,16.404040404040405
"Las Vegas, Nevada",2015,613590,807,187300,19.341181330028913
"Las Vegas, Nevada",2016,623769,832,209400,20.97355769230769
"Las Vegas, Nevada",2017,632916,848,228300,22.43514150943396
"Las Vegas, Nevada",2018,641708,921,245500,22.213174086138253
"Las Vegas, Nevada",2019,644664,926,285000,25.64794816414687
"Baltimore, Maryland",2010,637418,710,168400,19.76525821596244
"Baltimore, Maryland",2011,620583,706,166100,19.60576015108593
"Baltimore, Maryland",2012,619493,722,154400,17.820867959372112
"Baltimore, Maryland",2013,621342,736,150100,16.995018115942027
"Baltimore, Maryland",2014,622104,774,150000,16.149870801033593
"Baltimore, Maryland",2015,622793,812,150800,15.476190476190474
"Baltimore, Maryland",2016,621849,808,155600,16.047854785478552
"Baltimore, Maryland",2017,614664,852,153500,15.013693270735526
"Baltimore, Maryland",2018,611648,873,154400,14.73844978999618
"Baltimore, Maryland",2019,602495,877,167800,15.944507791714175
"Louisville/Jefferson County, Kentucky",2010,566492,530,138500,21.77672955974843
"Louisville/Jefferson County, Kentucky",2011,598230,537,141500,21.95841092489137
"Louisville/Jefferson County, Kentucky",2012,602037,552,138300,20.8786231884058
"Louisville/Jefferson County, Kentucky",2013,605108,567,137700,20.238095238095237
"Louisville/Jefferson County, Kentucky",2014,609908,589,141900,20.076400679117146
"Louisville/Jefferson County, Kentucky",2015,612775,589,142000,20.09054895302773
"Louisville/Jefferson County, Kentucky",2016,615389,624,145000,19.36431623931624
"Louisville/Jefferson County, Kentucky",2017,616261,638,150900,19.710031347962374
"Louisville/Jefferson County, Kentucky",2018,621337,660,160500,20.26515151515152
"Louisville/Jefferson County, Kentucky",2019,620149,681,168700,20.643661282427804
"Milwaukee, Wisconsin",2010,605027,606,139100,19.128162816281627
"Milwaukee, Wisconsin",2011,595587,610,132200,18.06010928961749
"Milwaukee, Wisconsin",2012,597884,613,131300,17.849374660141386
"Milwaukee, Wisconsin",2013,598920,623,120800,16.158373461744247
"Milwaukee, Wisconsin",2014,599168,655,113900,14.491094147582695
"Milwaukee, Wisconsin",2015,599653,657,111900,14.193302891933026
"Milwaukee, Wisconsin",2016,600154,666,114000,14.264264264264266
"Milwaukee, Wisconsin",2017,595070,684,114700,13.974171539961011
"Milwaukee, Wisconsin",2018,595365,686,122300,14.856656948493686
"Milwaukee, Wisconsin",2019,592002,708,126300,14.865819209039547
"Albuquerque, New Mexico",2010,529216,638,189700,24.777951933124342
"Albuquerque, New Mexico",2011,547585,641,193500,25.15600624024961
"Albuquerque, New Mexico",2012,552801,662,186100,23.42648539778449
"Albuquerque, New Mexico",2013,555419,675,181400,22.395061728395067
"Albuquerque, New Mexico",2014,556489,710,183400,21.52582159624413
"Albuquerque, New Mexico",2015,557172,704,185000,21.89867424242424
"Albuquerque, New Mexico",2016,559131,698,189200,22.58834765998089
"Albuquerque, New Mexico",2017,559270,722,191600,22.114496768236386
"Albuquerque, New Mexico",2018,558558,748,196900,21.936274509803926
"Albuquerque, New Mexico",2019,560234,768,207300,22.49348958333333
"Tucson, Arizona",2010,543907,591,162400,22.899041173152852
"Tucson, Arizona",2011,521132,614,151000,20.494028230184586
"Tucson, Arizona",2012,525798,611,138300,18.862520458265138
"Tucson, Arizona",2013,524278,612,123400,16.802832244008716
