date,"Atlanta-Sandy Springs-Roswell, GA Metro Area","Baltimore-Columbia-Towson, MD Metro Area","Boston-Cambridge-Newton, MA-NH Metro Area","Chicago-Naperville-Elgin, IL-IN-WI Metro Area","Cincinnati, OH-KY-IN Metro Area","Cleveland-Elyria, OH Metro Area","Dallas-Fort Worth-Arlington, TX Metro Area","Denver-Aurora-Lakewood, CO Metro Area","Detroit-Warren-Dearborn, MI Metro Area","Houston-The Woodlands-Sugar Land, TX Metro Area","Kansas City, MO-KS Metro Area","Los Angeles-Long Beach-Anaheim, CA Metro Area","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area","Milwaukee-Waukesha-West Allis, WI Metro Area","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","New York-Newark-Jersey City, NY-NJ-PA Metro Area","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","Phoenix-Mesa-Scottsdale, AZ Metro Area","Pittsburgh, PA Metro Area","Portland-Vancouver-Hillsboro, OR-WA Metro Area","Riverside-San Bernardino-Ontario, CA Metro Area","San Diego-Carlsbad, CA Metro Area","San Francisco-Oakland-Hayward, CA Metro Area","St. Louis, MO-IL Metro Area","Tampa-St. Petersburg-Clearwater, FL Metro Area","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",All Cities Average
1988-03-01,17.803849169047187,,28.198750135930688,21.292200918514574,20.875097988448786,18.328388511195666,19.39545768387644,17.422726869271642,16.21332367040035,15.849823572670571,19.44682035730326,28.627947931495477,12.750526863298761,16.185957297602382,19.31136590131657,34.06018454629335,15.74609206408787,,14.488205347760958,15.520087881099581,,22.971933650183512,30.253472502783612,17.768556931426552,15.972231950950981,,19.931045533861763
1988-04-01,17.803849169047187,,28.637095913690622,21.946994036963538,20.875097988448786,18.436909516185292,19.257671051157953,17.422726869271642,16.783386438598054,16.1973494861669,19.44682035730326,29.972605917492285,12.95377475422029,16.185957297602382,19.31136590131657,34.66500249546919,16.489873233404907,,14.654826971245598,15.520087881099581,,22.971933650183512,31.953986154851716,18.147852719604305,15.972231950950981,,20.25488180701248
1988-05-01,17.577303184111706,,28.22623370545976,21.981232717208414,20.419088566371027,18.211335582463615,19.292244966869184,17.598875762251414,16.74355245179758,16.145212095117003,19.07254314112421,29.753187133323234,12.883627959522348,15.938346034595584,19.122962331547626,34.48296572317489,16.271464316406167,,14.448932708013219,15.13898496107258,,22.55697820130014,31.953986154851716,18.28031879784959,15.985279738733588,,20.094757101507483
1988-06-01,17.577303184111706,,28.389155689329662,21.794230737402305,20.419088566371027,18.25600770572395,19.609088406106093,17.598875762251414,16.810047894417902,16.391435373256044,19.07254314112421,29.753187133323234,12.860414215451135,15.938346034595584,19.122962331547626,34.32844907318307,16.176239945863923,,14.318762143076166,15.13898496107258,,22.55697820130014,31.74513657214027,18.339815360251055,15.998327526516194,,20.099789998109788
1988-07-01,17.610593531051315,,28.2406796332892,22.09791297126631,20.595002020652476,18.392416231545056,18.941127705303714,17.43403238519691,17.169045750083264,16.49551207208932,19.005393926203727,31.59818583098665,13.063853896464286,16.35326225626408,19.12993134114367,33.916963532402725,16.412085987470885,,14.897187268253758,15.55786134436642,,23.562234838531992,33.376729811463804,18.31583078728662,15.998327526516194,,20.371098665810564
1988-08-01,17.585136206921028,,27.641513870206687,22.047307063698526,20.731531865766442,18.362387796881308,18.992691573829948,17.338078777657724,17.007327893724547,16.603797709324038,19.023805807714183,31.413401118524746,13.075633746686524,16.3683290464364,19.18336041471335,33.86693851244342,16.130936762846115,,14.872604450979413,15.621541875610415,,24.281442839153158,33.184771624194425,18.419645212801605,15.963533425762574,,20.350714436176204
1988-09-01,17.559678882790738,,27.71992951239167,21.847180221970547,20.868061710880404,18.332457254425105,19.3258966891603,17.242125170118538,16.980670639972633,16.513461486748824,19.042217689224636,31.27622469442638,12.764857240383236,16.383395836608724,19.23678948828303,33.61901070488527,16.130936762846115,,14.983870818443098,15.685222406854411,,25.00065083977432,32.66809435899111,18.286384113995158,15.928739325008952,,20.33617526582651
1988-10-01,17.559678882790738,,27.524555710496454,21.87269506984942,20.868061710880404,18.531416083051717,18.823164430372948,17.242125170118538,17.07569749291565,16.93750193050265,19.042217689224636,33.06853757462226,13.034178307098264,16.383395836608724,19.23678948828303,33.480129688539506,16.570682931989563,,14.916821090048533,15.685222406854411,,25.00065083977432,35.10211234871228,18.093267903218,15.928739325008952,,20.544438268680043
1988-11-01,17.429220644434196,,27.390941362387252,21.955233541811115,20.103604267067944,18.74320369542945,18.737526739606913,17.434416528893095,16.930316167511577,16.678631813660903,19.18065061265196,32.643977177801155,13.10363218795314,16.009581140100735,19.066278058491648,33.26114628214644,16.452151580544715,,14.90444198540949,15.475561956971646,,24.626975631492996,35.30155616887542,18.00717781010197,15.47982441691832,,20.40527498955737
1988-12-01,17.429220644434196,,27.053244825042754,21.988423615192538,20.103604267067944,18.636708219887236,18.703489452159857,17.434416528893095,16.930316167511577,16.42755563582085,19.18065061265196,32.59747578580998,13.092005185124432,16.009581140100735,19.066278058491648,33.3095613422369,16.254493222333224,,14.673082183348393,15.475561956971646,,24.626975631492996,35.251483039557876,18.064479887461086,15.47982441691832,,20.354019628114056
